timestamp,week,week_start,week_end,team1_name,team1_current_score,team1_projected_score,team2_name,team2_current_score,team2_projected_score
2026-02-03T23:28:38.908326,18,2026-02-02,2026-03-01,Eichel Tower,53.0,157.85,ericas Optimal Team,100.0,234.3
2026-02-03T23:28:38.908332,18,2026-02-02,2026-03-01,Eichel on Ice,102.0,170.15,Broke My Leg Pavelskiing,76.5,171.5
2026-02-03T23:28:38.908336,18,2026-02-02,2026-03-01,Poke Checks,86.0,208.35,Return Of The Mack,110.5,222.8
2026-02-03T23:28:38.908340,18,2026-02-02,2026-03-01,The Big Sticks,105.0,205.5,Weast Coast Bruins,141.5,244.75
2026-02-03T23:28:38.908344,18,2026-02-02,2026-03-01,The Nose Goes,141.5,210.85,Pucker McPuckface,74.5,241.0
2026-02-03T23:51:28.799568,18,2026-02-02,2026-03-01,More Like HelleSUCK Am I Right,48.5,204.8,youre on your own sid,85.5,243.5
2026-02-03T23:51:28.799582,18,2026-02-02,2026-03-01,Eichel Tower,53.0,157.85,ericas Optimal Team,100.0,234.3
2026-02-03T23:51:28.799587,18,2026-02-02,2026-03-01,Eichel on Ice,101.5,170.15,Broke My Leg Pavelskiing,76.5,171.5
2026-02-03T23:51:28.799591,18,2026-02-02,2026-03-01,Poke Checks,87.0,208.35,Return Of The Mack,109.5,222.8
2026-02-03T23:51:28.799595,18,2026-02-02,2026-03-01,The Big Sticks,105.0,205.5,Weast Coast Bruins,142.0,244.75
2026-02-03T23:51:28.799599,18,2026-02-02,2026-03-01,The Nose Goes,145.5,210.85,Pucker McPuckface,74.5,241.0
2026-02-03T23:54:46.997010,18,2026-02-02,2026-03-01,More Like HelleSUCK Am I Right,48.5,204.8,youre on your own sid,85.5,243.5
2026-02-03T23:54:46.997036,18,2026-02-02,2026-03-01,Eichel Tower,53.0,157.85,ericas Optimal Team,100.0,234.3
2026-02-03T23:54:46.997041,18,2026-02-02,2026-03-01,Eichel on Ice,101.5,170.15,Broke My Leg Pavelskiing,76.5,171.5
2026-02-03T23:54:46.997046,18,2026-02-02,2026-03-01,Poke Checks,87.0,208.35,Return Of The Mack,109.5,222.8
2026-02-03T23:54:46.997050,18,2026-02-02,2026-03-01,The Big Sticks,105.0,205.5,Weast Coast Bruins,142.0,244.75
2026-02-03T23:54:47.000097,18,2026-02-02,2026-03-01,The Nose Goes,145.5,210.85,Pucker McPuckface,74.5,241.0
2026-02-03T23:58:55.722436,18,2026-02-02,2026-03-01,More Like HelleSUCK Am I Right,48.5,204.8,youre on your own sid,85.5,243.5
2026-02-03T23:58:55.722455,18,2026-02-02,2026-03-01,Eichel Tower,53.0,157.85,ericas Optimal Team,100.0,234.3
2026-02-03T23:58:55.722461,18,2026-02-02,2026-03-01,Eichel on Ice,101.5,170.15,Broke My Leg Pavelskiing,76.5,171.5
2026-02-03T23:58:55.722467,18,2026-02-02,2026-03-01,Poke Checks,88.0,208.35,Return Of The Mack,109.5,222.8
2026-02-03T23:58:55.722471,18,2026-02-02,2026-03-01,The Big Sticks,105.0,205.5,Weast Coast Bruins,142.0,244.75
2026-02-03T23:58:55.722476,18,2026-02-02,2026-03-01,The Nose Goes,145.5,210.85,Pucker McPuckface,74.5,241.0
2026-02-04T00:09:13.895673,18,2026-02-02,2026-03-01,More Like HelleSUCK Am I Right,48.5,204.8,youre on your own sid,85.5,243.5
2026-02-04T00:09:13.895687,18,2026-02-02,2026-03-01,Eichel Tower,53.0,157.85,ericas Optimal Team,100.0,234.3
2026-02-04T00:09:13.895693,18,2026-02-02,2026-03-01,Eichel on Ice,101.0,170.15,Broke My Leg Pavelskiing,76.5,171.5
2026-02-04T00:09:13.895698,18,2026-02-02,2026-03-01,Poke Checks,86.0,208.35,Return Of The Mack,108.5,222.8
2026-02-04T00:09:13.895703,18,2026-02-02,2026-03-01,The Big Sticks,105.0,205.5,Weast Coast Bruins,142.0,244.75
2026-02-04T00:09:13.895707,18,2026-02-02,2026-03-01,The Nose Goes,149.5,210.85,Pucker McPuckface,74.5,241.0
2026-02-04T00:13:08.328065,18,2026-02-02,2026-03-01,More Like HelleSUCK Am I Right,48.5,204.8,youre on your own sid,85.5,243.5
2026-02-04T00:13:08.328095,18,2026-02-02,2026-03-01,Eichel Tower,53.0,157.85,ericas Optimal Team,100.0,234.3
2026-02-04T00:13:08.328104,18,2026-02-02,2026-03-01,Eichel on Ice,101.5,170.15,Broke My Leg Pavelskiing,76.5,171.5
2026-02-04T00:13:08.328113,18,2026-02-02,2026-03-01,Poke Checks,86.0,208.35,Return Of The Mack,108.5,222.8
2026-02-04T00:13:08.328120,18,2026-02-02,2026-03-01,The Big Sticks,105.0,205.5,Weast Coast Bruins,142.0,244.75
2026-02-04T00:13:08.328128,18,2026-02-02,2026-03-01,The Nose Goes,150.5,210.85,Pucker McPuckface,74.5,241.0
2026-02-04T00:16:16.082538,18,2026-02-02,2026-03-01,More Like HelleSUCK Am I Right,48.5,180.2,youre on your own sid,85.5,202.5
2026-02-04T00:16:16.082556,18,2026-02-02,2026-03-01,Eichel Tower,53.0,139.2,ericas Optimal Team,100.0,212.8
2026-02-04T00:16:16.082562,18,2026-02-02,2026-03-01,Eichel on Ice,103.0,173.98,Broke My Leg Pavelskiing,76.5,159.95
2026-02-04T00:16:16.082567,18,2026-02-02,2026-03-01,Poke Checks,86.5,202.21,Return Of The Mack,108.5,227.92
2026-02-04T00:16:16.082571,18,2026-02-02,2026-03-01,The Big Sticks,105.0,201.1,Weast Coast Bruins,142.0,258.43
2026-02-04T00:16:16.082576,18,2026-02-02,2026-03-01,The Nose Goes,150.5,243.11,Pucker McPuckface,74.5,214.0
2026-02-04T13:34:55.010041,18,2026-02-02,2026-03-01,More Like HelleSUCK Am I Right,48.5,180.55,youre on your own sid,85.5,195.8
2026-02-04T13:34:55.010055,18,2026-02-02,2026-03-01,Eichel Tower,53.0,139.2,ericas Optimal Team,100.0,226.9
2026-02-04T13:34:55.010061,18,2026-02-02,2026-03-01,Eichel on Ice,102.5,173.9,Broke My Leg Pavelskiing,76.5,160.1
2026-02-04T13:34:55.010066,18,2026-02-02,2026-03-01,Poke Checks,91.0,207.0,Return Of The Mack,115.5,234.35
2026-02-04T13:34:55.010071,18,2026-02-02,2026-03-01,The Big Sticks,105.0,200.7,Weast Coast Bruins,149.0,266.05
2026-02-04T13:34:55.010075,18,2026-02-02,2026-03-01,The Nose Goes,155.5,247.45,Pucker McPuckface,74.5,213.85
2026-02-05T12:00:04.268212,18,2026-02-02,2026-03-01,More Like HelleSUCK Am I Right,108.5,164.65,youre on your own sid,140.5,189.65
2026-02-05T12:00:04.268231,18,2026-02-02,2026-03-01,Eichel Tower,99.5,122.05,ericas Optimal Team,174.0,236.95
2026-02-05T12:00:04.268237,18,2026-02-02,2026-03-01,Eichel on Ice,146.5,174.4,Broke My Leg Pavelskiing,120.0,172.6
2026-02-05T12:00:04.268242,18,2026-02-02,2026-03-01,Poke Checks,163.5,202.0,Return Of The Mack,210.5,254.8
2026-02-05T12:00:04.268247,18,2026-02-02,2026-03-01,The Big Sticks,160.5,219.6,Weast Coast Bruins,214.0,272.85
2026-02-05T12:00:04.268251,18,2026-02-02,2026-03-01,The Nose Goes,205.5,243.25,Pucker McPuckface,183.0,238.1
2026-02-05T19:45:01.059359,18,2026-02-02,2026-03-01,More Like HelleSUCK Am I Right,112.0,152.81,youre on your own sid,146.0,182.03
2026-02-05T19:45:01.059380,18,2026-02-02,2026-03-01,Eichel Tower,107.5,125.87,ericas Optimal Team,195.0,238.56
2026-02-05T19:45:01.059389,18,2026-02-02,2026-03-01,Eichel on Ice,157.5,178.62,Broke My Leg Pavelskiing,129.5,164.76
2026-02-05T19:45:01.059395,18,2026-02-02,2026-03-01,Poke Checks,164.5,199.9,Return Of The Mack,217.0,242.48
2026-02-05T19:45:01.059401,18,2026-02-02,2026-03-01,The Big Sticks,166.5,207.59,Weast Coast Bruins,219.0,262.2
2026-02-05T19:45:01.059408,18,2026-02-02,2026-03-01,The Nose Goes,213.5,245.04,Pucker McPuckface,184.0,219.91
2026-02-05T19:57:15.647682,18,2026-02-02,2026-03-01,More Like HelleSUCK Am I Right,111.0,151.79,youre on your own sid,147.5,183.49
2026-02-05T19:57:15.647701,18,2026-02-02,2026-03-01,Eichel Tower,107.5,125.87,ericas Optimal Team,196.5,240.01
2026-02-05T19:57:15.647708,18,2026-02-02,2026-03-01,Eichel on Ice,156.5,177.61,Broke My Leg Pavelskiing,131.0,166.21
2026-02-05T19:57:15.647714,18,2026-02-02,2026-03-01,Poke Checks,165.5,200.9,Return Of The Mack,217.0,242.44
2026-02-05T19:57:15.647719,18,2026-02-02,2026-03-01,The Big Sticks,169.0,210.04,Weast Coast Bruins,224.0,267.18
2026-02-05T19:57:15.647724,18,2026-02-02,2026-03-01,The Nose Goes,211.5,242.99,Pucker McPuckface,184.0,219.9
2026-02-05T20:00:38.747148,18,2026-02-02,2026-03-01,More Like HelleSUCK Am I Right,111.0,151.79,youre on your own sid,147.5,183.49
2026-02-05T20:00:38.747174,18,2026-02-02,2026-03-01,Eichel Tower,107.5,125.87,ericas Optimal Team,197.0,240.51
2026-02-05T20:00:38.747182,18,2026-02-02,2026-03-01,Eichel on Ice,156.5,177.61,Broke My Leg Pavelskiing,131.5,166.71
2026-02-05T20:00:38.747189,18,2026-02-02,2026-03-01,Poke Checks,165.5,200.9,Return Of The Mack,217.0,242.44
2026-02-05T20:00:38.747195,18,2026-02-02,2026-03-01,The Big Sticks,169.0,210.04,Weast Coast Bruins,223.0,266.18
